Date,Close,Index
2023-08-02,4513,145
2023-08-03,4501,146
2023-08-04,4478,147
2023-08-07,4518,148
2023-08-08,4499,149
2023-08-09,4467,150
2023-08-10,4468,151
2023-08-11,4464,152
2023-08-14,4489,153
2023-08-15,4437,154
2023-08-16,4404,155
2023-08-17,4370,156
2023-08-18,4369,157
2023-08-21,4399,158
2023-08-22,4387,159
2023-08-23,4436,160
2023-08-24,4376,161
2023-08-25,4405,162
2023-08-28,4433,163
2023-08-29,4497,164
2023-08-30,4514,165
2023-08-31,4507,166
2023-09-01,4515,167
2023-09-05,4496,168
2023-09-06,4465,169
2023-09-07,4451,170
2023-09-08,4457,171
2023-09-11,4487,172
2023-09-12,4461,173
2023-09-13,4467,174
2023-09-14,4505,175
2023-09-15,4450,176
2023-09-18,4453,177
2023-09-19,4443,178
2023-09-20,4402,179
2023-09-21,4330,180
2023-09-22,4320,181
2023-09-25,4337,182
2023-09-26,4273,183
2023-09-27,4274,184
2023-09-28,4299,185
2023-09-29,4288,186
2023-10-02,4288,187
2023-10-03,4229,188
2023-10-04,4263,189
2023-10-05,4258,190
2023-10-06,4308,191
2023-10-09,4335,192
2023-10-10,4358,193
2023-10-11,4376,194
2023-10-12,4349,195
2023-10-13,4327,196
2023-10-16,4373,197
2023-10-17,4373,198
2023-10-18,4314,199
2023-10-19,4278,200
2023-10-20,4224,201
2023-10-23,4217,202
2023-10-24,4247,203
2023-10-25,4186,204
2023-10-26,4137,205
2023-10-27,4117,206
2023-10-30,4166,207
2023-10-31,4193,208
2023-11-01,4237,209
2023-11-02,4317,210
2023-11-03,4358,211
2023-11-06,4365,212
2023-11-07,4378,213
2023-11-08,4382,214
2023-11-09,4347,215
2023-11-10,4415,216
2023-11-13,4411,217
2023-11-14,4495,218
2023-11-15,4502,219
2023-11-16,4508,220
2023-11-17,4514,221
2023-11-20,4547,222
2023-11-21,4538,223
2023-11-22,4556,224
2023-11-24,4559,225
2023-11-27,4550,226
2023-11-28,4554,227
2023-11-29,4550,228
2023-11-30,4567,229
2023-12-01,4594,230
2023-12-04,4569,231
2023-12-05,4567,232
2023-12-06,4549,233
2023-12-07,4585,234
2023-12-08,4604,235
2023-12-11,4622,236
2023-12-12,4643,237
2023-12-13,4707,238
2023-12-14,4719,239
2023-12-15,4719,240
2023-12-18,4740,241
2023-12-19,4768,242
2023-12-20,4698,243
2023-12-21,4746,244
2023-12-22,4754,245
2023-12-26,4774,246
2023-12-27,4781,247
2023-12-28,4783,248
2023-12-29,4769,249
